Artist,Country
Albrecht Durer,Germany
Aleksey Savrasov,Russia
Alfred Sisley,France
Amedeo Modigliani,France
Anthony Van Dyck,Belgium
Aubrey Beardsley,United Kingdom
Bartolomé Esteban Murillo,Spain
Berthe Morisot,France
Boris Kustodiev,Russia
Camille Corot,France
Camille Pissarro,France
Canaletto,Italy
Claude Monet,France
Dante Gabriel Rossetti,United Kingdom
Edgar Degas,France
Edouard Manet,France
Edvard Munch,Norway
Egon Schiele,Austria
El Greco,Spain
Ernst Ludwig Kirchner,Germany
Eugene Delacroix,France
Ferdinand Hodler,Switzerland
Fra Angelico,Italy
Francisco Goya,Spain
Frans Hals,Netherlands
Georges Braque,France
Georges Seurat,France
Gustav Klimt,Austria
Henri Matisse,France
Ivan Aivazovsky,Russia
Jacek Malczewski,Poland
Jan Matejko,Poland
Joaquin Sorolla,Spain
Joshua Reynolds,United Kingdom
Leonardo da Vinci,Italy
Lucas Cranach the Elder,Germany
Marc Chagall,France
Michelangelo,Italy
Mikalojus Čiurlionis,Lithuania
Pablo Picasso,France
Paolo Veronese,Italy
Paul Cézanne,France
Paul Gauguin,France
Peter Paul Rubens,Belgium
Pierre-Auguste Renoir,France
Raphael,Italy
Rembrandt,Netherlands
Salvador Dali,Spain
Tintoretto,Italy
Titian,Italy
Valentin Serov,Russia
Vincent van Gogh,France
William Turner,United Kingdom
Zinaida Serebriakova,Russia
